TempoAlocacao,Tempo,Particionamento,Nucleos,Pontos
0.021118,0.032073,LinhaRoundRobin,8 sparks,66049
0.022593,0.031957,LinhaRoundRobin,8 sparks,66049
0.025942,0.030299,LinhaRoundRobin,8 sparks,66049
0.025862,0.029793,LinhaRoundRobin,8 sparks,66049
0.022605,0.029847,LinhaRoundRobin,8 sparks,66049
0.02128,0.030063,LinhaRoundRobin,8 sparks,66049
0.017633,0.030693,LinhaRoundRobin,8 sparks,66049
0.022896,0.033056,LinhaRoundRobin,8 sparks,66049
0.01934,0.032259,LinhaRoundRobin,8 sparks,66049
0.018742,0.030171,LinhaRoundRobin,8 sparks,66049
0.019799,0.029925,LinhaRoundRobin,8 sparks,66049
0.026072,0.0288,LinhaRoundRobin,8 sparks,66049
0.023923,0.030775,LinhaRoundRobin,8 sparks,66049
0.005402,0.047882,LinhaRoundRobin,8 sparks,66049
0.023824,0.030874,LinhaRoundRobin,8 sparks,66049
0.015735,0.030021,LinhaRoundRobin,8 sparks,66049
0.022068,0.030006,LinhaRoundRobin,8 sparks,66049
0.02345,0.029092,LinhaRoundRobin,8 sparks,66049
0.021534,0.030413,LinhaRoundRobin,8 sparks,66049
0.023825,0.031373,LinhaRoundRobin,8 sparks,66049
0.036899,0.0441,LinhaRoundRobin,16 sparks,66049
0.022579,0.029711,LinhaRoundRobin,16 sparks,66049
0.02481,0.039281,LinhaRoundRobin,16 sparks,66049
0.012192,0.04312,LinhaRoundRobin,16 sparks,66049
0.025376,0.034492,LinhaRoundRobin,16 sparks,66049
0.021356,0.086843,LinhaRoundRobin,16 sparks,66049
0.024226,0.034741,LinhaRoundRobin,16 sparks,66049
0.00776,0.089288,LinhaRoundRobin,16 sparks,66049
0.037545,0.046233,LinhaRoundRobin,16 sparks,66049
0.047842,0.033192,LinhaRoundRobin,16 sparks,66049
0.010009,0.065803,LinhaRoundRobin,16 sparks,66049
0.011172,0.036968,LinhaRoundRobin,16 sparks,66049
0.009025,0.058192,LinhaRoundRobin,16 sparks,66049
0.012228,0.067883,LinhaRoundRobin,16 sparks,66049
0.008425,0.079932,LinhaRoundRobin,16 sparks,66049
0.033832,0.031088,LinhaRoundRobin,16 sparks,66049
0.034702,0.050307,LinhaRoundRobin,16 sparks,66049
0.028697,0.055012,LinhaRoundRobin,16 sparks,66049
0.031285,0.037124,LinhaRoundRobin,16 sparks,66049
0.037478,0.051918,LinhaRoundRobin,16 sparks,66049
0.032439,0.031518,LinhaRoundRobin,16 sparks,66049
0.037619,0.052006,LinhaRoundRobin,16 sparks,66049
0.037034,0.05478,LinhaRoundRobin,16 sparks,66049
0.018397,0.03183,LinhaRoundRobin,16 sparks,66049
0.026371,0.049751,LinhaRoundRobin,16 sparks,66049
0.025119,0.040368,LinhaRoundRobin,16 sparks,66049
0.023554,0.032673,LinhaRoundRobin,16 sparks,66049
0.028728,0.049298,LinhaRoundRobin,16 sparks,66049
0.008498,0.062318,LinhaRoundRobin,16 sparks,66049
0.015374,0.03697,LinhaRoundRobin,16 sparks,66049
0.013103,0.078965,LinhaRoundRobin,16 sparks,66049
0.034012,0.040112,LinhaRoundRobin,16 sparks,66049
0.039242,0.036584,LinhaRoundRobin,16 sparks,66049
0.00613,0.065664,LinhaRoundRobin,16 sparks,66049
0.009926,0.058169,LinhaRoundRobin,16 sparks,66049
